code,name,price
005930,삼성전자,75500
000660,SK하이닉스,212000
373220,LG에너지솔루션,358000
005380,현대차,271000
207940,삼성바이오로직스,741000
005935,삼성전자우,61500
000270,기아,122000
068270,셀트리온,193100
005490,POSCO홀딩스,379500
105560,KB금융,78600
035420,NAVER,170400
006400,삼성SDI,393000
051910,LG화학,374500
028260,삼성물산,133800
055550,신한지주,46200
003670,포스코퓨처엠,285500
012330,현대모비스,218500
035720,카카오,43250
086790,하나금융지주,59800
032830,삼성생명,84300
066570,LG전자,98200
000810,삼성화재,336500
042700,한미반도체,159300
138040,메리츠금융지주,74000
034730,SK,182300
015760,한국전력,19800
003550,LG,80000
259960,크래프톤,257500
011200,HMM,17500
034020,두산에너빌리티,19240
018260,삼성에스디에스,155500
402340,SK스퀘어,88200
329180,HD현대중공업,129800
033780,KT&G,86500
009150,삼성전기,149800
017670,SK텔레콤,51100
323410,카카오뱅크,22400
024110,기업은행,13370
012450,한화에어로스페이스,210500
316140,우리금융지주,14070
090430,아모레퍼시픽,178300
010130,고려아연,498000
096770,SK이노베이션,103800
267260,HD현대일렉트릭,274500
009540,HD한국조선해양,133800
047050,포스코인터내셔널,53700
042660,한화오션,30400
030200,KT,36850
450080,에코프로머티,131800
459580,KODEX CD금리액티브(합성),1038570
352820,하이브,198200
003490,대한항공,22200
010140,삼성중공업,9230
010950,S-Oil,66600
005830,DB손해보험,105200
357870,TIGER CD금리투자KIS(합성),54440
086280,현대글로비스,183700
326030,SK바이오팜,80500
011790,SKC,166300
051900,LG생활건강,401500
069500,KODEX 200,36950
022100,포스코DX,40500
443060,HD현대마린솔루션,137800
000100,유한양행,75800
066970,엘앤에프,164800
010120,LS ELECTRIC,195100
005387,현대차2우B,161700
009830,한화솔루션,32400
005070,코스모신소재,170700
161390,한국타이어앤테크놀로지,44750
088980,맥쿼리인프라,12630
267250,HD현대,69300
097950,CJ제일제당,362000
011070,LG이노텍,229000
241560,두산밥캣,52900
454910,두산로보틱스,80700
423160,KODEX KOFR금리액티브(합성),107045
001570,금양,89500
011170,롯데케미칼,119900
034220,LG디스플레이,10100
047810,한국항공우주,51500
251270,넷마블,56100
006260,LS,146600
180640,한진칼,69200
029780,삼성카드,39050
003230,삼양식품,592000
028050,삼성E&A,22400
032640,LG유플러스,9720
006800,미래에셋증권,7090
011780,금호석유,151000
036570,엔씨소프트,187300
064350,현대로템,37650
377300,카카오페이,30500
036460,한국가스공사,43750
307950,현대오토에버,147100
021240,코웨이,54600
078930,GS,42950
302440,SK바이오사이언스,51400
005940,NH투자증권,11940
004020,현대제철,28650
271560,오리온,96700
001040,CJ,130900
005385,현대차우,159700
071050,한국금융지주,67500
079550,LIG넥스원,169600
449170,TIGER KOFR금리액티브(합성),105565
298040,효성중공업,396500
000720,현대건설,32950
360750,TIGER 미국S&P500,18430
128940,한미약품,282000
133690,TIGER 미국나스닥100,117145
000150,두산,202500
361610,SK아이이테크놀로지,46300
272210,한화시스템,17250
039490,키움증권,127100
004370,농심,530000
016360,삼성증권,35900
035250,강원랜드,14760
003410,쌍용C&E,7000
007660,이수페타시스,48100
001450,현대해상,32600
010620,HD현대미포,72500
001440,대한전선,15440
002790,아모레G,34450
278470,에이피알,361500
273130,KODEX 종합채권(AA-이상)액티브,110810
004990,롯데지주,25100
175330,JB금융지주,13490
018880,한온시스템,4920
052690,한전기술,68600
381180,TIGER 미국필라델피아반도체나스닥,19550
383220,F&F,68200
138930,BNK금융지주,8090
020150,롯데에너지머티리얼즈,55800
002380,KCC,281000
465680,KODEX 24-12 은행채(AA+이상)액티브,10315
381170,TIGER 미국테크TOP10 INDXX,20020
088350,한화생명,2760
081660,휠라홀딩스,39300
007070,GS리테일,21900
000120,CJ대한통운,100500
012750,에스원,60200
204320,HL만도,47550
102110,TIGER 200,37005
008770,호텔신라,56100
028670,팬오션,4110
278530,KODEX 200TR,12850
008930,한미사이언스,31300
030000,제일기획,18450
012510,더존비즈온,68900
112610,씨에스윈드,49400
014680,한솔케미칼,182200
122630,KODEX 레버리지,19245
051915,LG화학우,264500
282330,BGF리테일,115200
000880,한화,26500
073240,금호타이어,6890
007310,오뚜기,486500
026960,동서,19410
371460,TIGER 차이나전기차SOLACTIVE,7670
000990,DB하이텍,42650
010060,OCI홀딩스,93300
023530,롯데쇼핑,64400
005850,에스엘,39000
192820,코스맥스,155500
455890,KBSTAR 머니마켓액티브,52375
457190,이수스페셜티케미컬,58100
009420,한올바이오파마,33400
298020,효성티앤씨,390500
280360,롯데웰푸드,178100
139480,이마트,59000
051600,한전KPS,36100
018670,SK가스,174300
103140,풍산,57200
002710,TCC스틸,60700
004170,신세계,160900
017800,현대엘리베이,40500
298050,효성첨단소재,353000
011210,현대위아,57200
111770,영원무역,35000
042670,HD현대인프라코어,7720
004490,세방전지,108200
047040,대우건설,3625
336260,두산퓨얼셀,22650
161890,한국콜마,61700
000080,하이트진로,20700
000240,한국앤컴퍼니,15120
006110,삼아알미늄,96200
006280,녹십자,119500
014820,동원시스템즈,47900
315930,KODEX Top5PlusTR,23930
185750,종근당,102500
139130,DGB금융지주,7930
252670,KODEX 200선물인버스2X,2055
375500,DL이앤씨,34350
470260,TIGER 24-12 금융채(AA-이상),51365
233740,KODEX 코스닥150레버리지,11340
003690,코리안리,7990
379800,KODEX 미국S&P500TR,16790
395400,SK리츠,4835
214980,KODEX 단기채권PLUS,110810
305540,TIGER 2차전지테마,23450
305720,KODEX 2차전지산업,20000
336370,솔루스첨단소재,18200
009240,한샘,54300
006360,GS건설,14640
453850,ACE 미국30년국채액티브(H),8295
000210,DL,59500
006040,동원산업,34600
005420,코스모화학,32450
069620,대웅제약,106700
005300,롯데칠성,132600
148020,KBSTAR 200,37165
004000,롯데정밀화학,47300
137310,에스디바이오센서,9800
102780,KODEX 삼성그룹,9060
004800,효성,59300
001720,신영증권,73500
103590,일진전기,25300
145720,덴티움,108800
069960,현대백화점,49950
310970,TIGER MSCI Korea TR,15690
000400,롯데손해보험,3725
248070,솔루엠,22850
108320,LX세미콘,70200
001120,LX인터내셔널,29400
385540,KBSTAR 종합채권(A-이상)액티브,102660
294870,HDC현대산업개발,16980
009970,영원무역홀딩스,81400
353200,대덕전자,22400
120110,코오롱인더,40050
292150,TIGER TOP10,12680
005180,빙그레,108600
003620,KG모빌리티,5460
001740,SK네트웍스,4790
082740,한화엔진,12700
360200,ACE 미국S&P500,18625
267270,HD현대건설기계,54700
365550,ESR켄달스퀘어리츠,4825
006650,대한유화,157400
089860,롯데렌탈,27750
229640,LS에코에너지,33150
008730,율촌화학,40150
458730,TIGER 미국배당다우존스,11360
379810,KODEX 미국나스닥100TR,17505
003090,대웅,16670
002840,미원상사,202500
610063,메리츠 KIS CD금리투자 ETN,52250
192080,더블유게임즈,43950
001800,오리온홀딩스,15000
